Configuration;Term;term_label;Prefix;Suffix;Lande;lande_g;leading_pct;Reference;Z;A;proton_number;neutron_number;J;S_qn;L_qn;parity;Level (cm-1);Uncertainty (cm-1);1s;2s;2p;3s;3p;3d;4s;4p;4d;5s
3p6.3d7.4s2;4F;a;;;1,33289;1,33289;;L7185;27;59;27;32;4,5;1,5;3;0;0;0;2;2;6;2;6;7;2;0;0;0
3p6.3d7.4s2;4F;a;;;1,23778;1,23778;;;27;59;27;32;3,5;1,5;3;0;816;0;2;2;6;2;6;7;2;0;0;0
3p6.3d7.4s2;4F;a;;;1,02826;1,02826;;;27;59;27;32;2,5;1,5;3;0;1406,84;0;2;2;6;2;6;7;2;0;0;0
3p6.3d7.4s2;4F;a;;;0,3994;0,3994;;;27;59;27;32;1,5;1,5;3;0;1809,33;0;2;2;6;2;6;7;2;0;0;0
3p6.3d8.(3F).4s;4F;b;;;1,33343;1,33343;100;;27;59;27;32;4,5;1,5;3;0;3482,82;0;2;2;6;2;6;8;1;0;0;0
3p6.3d8.(3F).4s;4F;b;;;1,23661;1,23661;98;;27;59;27;32;3,5;1,5;3;0;4142,66;0;2;2;6;2;6;8;1;0;0;0
3p6.3d8.(3F).4s;4F;b;;;1,02709;1,02709;100;;27;59;27;32;2,5;1,5;3;0;4690,18;0;2;2;6;2;6;8;1;0;0;0
3p6.3d8.(3F).4s;4F;b;;;0,404;0,404;100;;27;59;27;32;1,5;1,5;3;0;5075,83;0;2;2;6;2;6;8;1;0;0;0
3p6.3d8.(3F).4s;2F;a;;;1,147;1,147;98;;27;59;27;32;3,5;0,5;3;0;7442,41;0;2;2;6;2;6;8;1;0;0;0
3p6.3d8.(3F).4s;2F;a;;;0,862;0,862;100;;27;59;27;32;2,5;0,5;3;0;8460,81;0;2;2;6;2;6;8;1;0;0;0
3p6.3d7.4s2;4P;a;;;1,604;1,604;;;27;59;27;32;2,5;1,5;1;0;13795,52;0;2;2;6;2;6;7;2;0;0;0
3p6.3d7.4s2;4P;a;;;1,722;1,722;;;27;59;27;32;1,5;1,5;1;0;14036,28;0;2;2;6;2;6;7;2;0;0;0
3p6.3d7.4s2;4P;a;;;2,651;2,651;;;27;59;27;32;0,5;1,5;1;0;14399,28;0;2;2;6;2;6;7;2;0;0;0
3p6.3d8.(3P).4s;4P;b;;;1,515;1,515;84;;27;59;27;32;2,5;1,5;1;0;15184,04;0;2;2;6;2;6;8;1;0;0;0
3p6.3d8.(3P).4s;4P;b;;;1,476;1,476;98;;27;59;27;32;1,5;1,5;1;0;15774,04;0;2;2;6;2;6;8;1;0;0;0
3p6.3d8.(3P).4s;4P;b;;;2,682;2,682;100;;27;59;27;32;0,5;1,5;1;0;16195,68;0;2;2;6;2;6;8;1;0;0;0
3p6.3d7.4s2;2G;a;;;1,109;1,109;;;27;59;27;32;4,5;0,5;4;0;16467,9;0;2;2;6;2;6;7;2;0;0;0
3p6.3d7.4s2;2G;a;;;0,883;0,883;;;27;59;27;32;3,5;0,5;4;0;17233,68;0;2;2;6;2;6;7;2;0;0;0
3p6.3d8.(1D).4s;2D;a;;;1,101;1,101;96;;27;59;27;32;1,5;0,5;2;0;16470,6;0;2;2;6;2;6;8;1;0;0;0
3p6.3d8.(1D).4s;2D;a;;;1,296;1,296;83;;27;59;27;32;2,5;0,5;2;0;16778,16;0;2;2;6;2;6;8;1;0;0;0
3p6.3d8.(3P).4s;2P;a;;;1,3;1,3;98;;27;59;27;32;1,5;0,5;1;0;18389,57;0;2;2;6;2;6;8;1;0;0;0
3p6.3d8.(3P).4s;2P;a;;;0,695;0,695;100;;27;59;27;32;0,5;0,5;1;0;18775,01;0;2;2;6;2;6;8;1;0;0;0
3p6.3d7.4s2;2P;b;;;1,284;1,284;;;27;59;27;32;1,5;0,5;1;0;20500,71;0;2;2;6;2;6;7;2;0;0;0
3p6.3d7.4s2;2P;b;;;0,68;0,68;;;27;59;27;32;0,5;0,5;1;0;21215,9;0;2;2;6;2;6;7;2;0;0;0
3p6.3d7.4s2;2H;a;;;1,1;1,1;;;27;59;27;32;5,5;0,5;5;0;21780,47;0;2;2;6;2;6;7;2;0;0;0
3p6.3d7.4s2;2H;a;;;0,921;0,921;;;27;59;27;32;4,5;0,5;5;0;22475,36;0;2;2;6;2;6;7;2;0;0;0
3p6.3d7.4s2;2D;b;;;1,18;1,18;;;27;59;27;32;2,5;0,5;2;0;21920,09;0;2;2;6;2;6;7;2;0;0;0
