Configuration,Term,term_label,Prefix,Suffix,Lande,lande_g,leading_pct,Reference,Z,A,proton_number,neutron_number,J,S_qn,L_qn,parity,Level (cm-1),Uncertainty (cm-1),1s,2s,2p,3s,3p,3d,4s,4p,4d,5s,5p,5d,6s,6p
3d7.(4P).4s2.(1S),4P,,,,2.651,2.651,,Co-atom-AI,27,59,27,32,0.5,1.5,1,0,14399.22,,2,2,6,2,6,7,2,0,0,0,0,0,0,0
3d8.(3P).4s.(2S),4P,,,,2.682,2.682,,Co-atom-AI,27,59,27,32,0.5,1.5,1,0,16195.61,,2,2,6,2,6,8,1,0,0,0,0,0,0,0
3d8.(3P).4s.(2S),2P,,,,0.695,0.695,,Co-atom-AI,27,59,27,32,0.5,0.5,1,0,18774.99,,2,2,6,2,6,8,1,0,0,0,0,0,0,0
3d7.(2P).4s2.(1S),2P,,,,0.68,0.68,,Co-atom-AI,27,59,27,32,0.5,0.5,1,0,21215.859,,2,2,6,2,6,7,2,0,0,0,0,0,0,0
3d7.(4F).4s5.(3S),6F,,,,-0.666,-0.666,,Co-atom-AI,27,59,27,32,0.5,2.5,3,0,47528.406,,2,2,6,2,3,7,5,0,0,0,0,0,0,0
3d8.(3F).4d.(2D),4D,,,,0.48,0.48,,Co-atom-AI,27,59,27,32,0.5,1.5,2,0,52040.836,,2,2,6,2,6,8,0,0,1,0,0,0,0,0
3d8.(3F).4d.(2D),4P,,,,1.58,1.58,,Co-atom-AI,27,59,27,32,0.5,1.5,1,0,52634.543,,2,2,6,2,6,8,0,0,1,0,0,0,0,0
3d8.(3F).4d.(2D),2P,,,,1.014322,1.014322,,Co-atom-AI,27,59,27,32,0.5,0.5,1,0,52715.711,,2,2,6,2,6,8,0,0,1,0,0,0,0,0
3d7.(4F).4s4.(1D),4D,,,,0.39449,0.39449,,Co-atom-AI,27,59,27,32,0.5,1.5,2,0,54949.777,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3D),6F,,,,0.364893,0.364893,,Co-atom-AI,27,59,27,32,0.5,2.5,3,0,55288.625,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3D),6D,,,,2.054554,2.054554,,Co-atom-AI,27,59,27,32,0.5,2.5,2,0,55407.094,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(1D),4P,,,,2.527472,2.527472,,Co-atom-AI,27,59,27,32,0.5,1.5,1,0,55826.805,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s2.(1S),4F,,,,0.3994,0.3994,,Co-atom-AI,27,59,27,32,1.5,1.5,3,0,1809.313,,2,2,6,2,6,7,2,0,0,0,0,0,0,0
3d8.(3F).4s.(2S),4F,,,,0.404,0.404,,Co-atom-AI,27,59,27,32,1.5,1.5,3,0,5075.788,,2,2,6,2,6,8,1,0,0,0,0,0,0,0
3d7.(4P).4s2.(1S),4P,,,,1.722,1.722,,Co-atom-AI,27,59,27,32,1.5,1.5,1,0,14036.241,,2,2,6,2,6,7,2,0,0,0,0,0,0,0
3d8.(3P).4s.(2S),4P,,,,1.476,1.476,,Co-atom-AI,27,59,27,32,1.5,1.5,1,0,15774.009,,2,2,6,2,6,8,1,0,0,0,0,0,0,0
3d8.(1D).4s.(2S),2D,,,,1.101,1.101,,Co-atom-AI,27,59,27,32,1.5,0.5,2,0,16470.598,,2,2,6,2,6,8,1,0,0,0,0,0,0,0
3d8.(3P).4s.(2S),2P,,,,1.3,1.3,,Co-atom-AI,27,59,27,32,1.5,0.5,1,0,18389.549,,2,2,6,2,6,8,1,0,0,0,0,0,0,0
3d7.(2P).4s2.(1S),2P,,,,1.284,1.284,,Co-atom-AI,27,59,27,32,1.5,0.5,1,0,20500.672,,2,2,6,2,6,7,2,0,0,0,0,0,0,0
3d7.(2D).4s2.(1S),2D,,,,0.955,0.955,,Co-atom-AI,27,59,27,32,1.5,0.5,2,0,23152.539,,2,2,6,2,6,7,2,0,0,0,0,0,0,0
3d9,2D,,,,0.907,0.907,,Co-atom-AI,27,59,27,32,1.5,0.5,2,0,28470.445,,2,2,6,2,6,9,0,0,0,0,0,0,0,0
3d8.(3F).5s.(2S),4F,,,,0.44,0.44,,Co-atom-AI,27,59,27,32,1.5,1.5,3,0,46375.125,,2,2,6,2,6,8,0,0,0,1,0,0,0,0
3d7.(4F).4s5.(3S),6F,,,,1.054,1.054,,Co-atom-AI,27,59,27,32,1.5,2.5,3,0,47364.656,,2,2,6,2,3,7,5,0,0,0,0,0,0,0
3d7.(4F).4s5.(3S),4F,,,,0.401,0.401,,Co-atom-AI,27,59,27,32,1.5,1.5,3,0,49078.387,,2,2,6,2,3,7,5,0,0,0,0,0,0,0
