Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""5p6.6s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""0.0000"""""",""="""""""""",""=""""0"""""",""=""""L15024"""""""
"=""5p6.6p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""11178.26815870"""""",""="""""""""",""=""""0.00000008"""""",""=""""L12151"""""""
"=""5p6.6p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""11732.3071041"""""",""="""""""""",""=""""0.0000002"""""",""=""""L15527"""""""
"=""5p6.5d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""14499.2568"""""",""="""""""""",""=""""0.001"""""",""=""""L793"""""""
"=""5p6.5d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""14596.84232"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.7s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""18535.5286"""""",""="""""""""",""=""""0.0030"""""",""=""""L7057"""""""
"=""5p6.7p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""21765.348"""""",""="""""""""",""=""""0.020"""""",""=""""L3506"""""""
"=""5p6.7p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""21946.397"""""",""="""""""""",""=""""0.026"""""",""=""""L3506,L6284"""""""
"=""5p6.6d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""22588.8210"""""",""="""""""""",""=""""0.001"""""",""=""""L4744"""""""
"=""5p6.6d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""22631.6863"""""",""="""""""""",""=""""0.0010"""""",""=""""L4744"""""""
"=""5p6.8s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""24317.149400"""""",""="""""""""",""=""""0.000001"""""",""=""""L12362"""""""
