Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""7s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""0.000"""""",""="""""""""",""=""""0.002"""""",""=""""L12264"""""""
"=""7p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""12237.409"""""",""="""""""""",""=""""0.002"""""",""=""""L6679"""""""
"=""7p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""13923.998"""""",""="""""""""",""=""""0.002"""""",""=""""L6679"""""""
"=""6d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""16229.87"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""6d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""16429.64"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""8s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""19739.98"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""8p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""23112.960"""""",""="""""""""",""=""""0.005"""""",""=""""L6731"""""""
"=""8p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""23658.306"""""",""="""""""""",""=""""0.004"""""",""=""""L6731"""""""
"=""7d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""24244.03"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""7d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""24332.93"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""9s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""25671.00"""""",""="""""""""",""=""""0.04"""""",""=""""L11797"""""""
"=""9p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""27118.21"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""9p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""27366.20"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""8d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""27600.657"""""",""="""""""""",""=""""0.007"""""",""=""""L10714"""""""
"=""8d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""27645.373"""""",""="""""""""",""=""""0.007"""""",""=""""L10714"""""""
"=""10s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""28310.617"""""",""="""""""""",""=""""0.006"""""",""=""""L10714"""""""
"=""10p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""29064.18"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""10p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""29198.09"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""9d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""29316.497"""""",""="""""""""",""=""""0.007"""""",""=""""L10714"""""""
"=""9d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""29341.817"""""",""="""""""""",""=""""0.007"""""",""=""""L10714"""""""
"=""11s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""29718.909"""""",""="""""""""",""=""""0.006"""""",""=""""L10714"""""""
"=""11p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""30161.07"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""11p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""30241.60"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""10d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""30309.962"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""10d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""30325.605"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""12s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""30559.504"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""12p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""30840.98"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""12p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""30893.16"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""11d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""30936.325"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""11d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""30946.643"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""13s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""31101.539"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""13p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""31291.72"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""13p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""31327.46"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""12d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""31356.506"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""12d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""31363.655"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""14s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""31471.465"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""14p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""31605.95"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""14p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""31631.49"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""13d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""31652.000"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""13d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""31657.155"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""15s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""31735.182"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""15p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""31833.76"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""15p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""31852.65"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""14d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""31867.682"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""14d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""31871.514"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""16s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""31929.789"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""16p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""32004.20"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
