Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""4p6.5s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""0.000"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.5p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""12578.950"""""",""="""""""""",""=""""0.002"""""",""=""""L9039"""""""
"=""4p6.5p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""12816.545"""""",""="""""""""",""=""""0.002"""""",""=""""L9039"""""""
"=""4p6.4d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""19355.203"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.4d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""19355.649"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.6s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""20132.510"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.6p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""23715.081"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.6p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""23792.591"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.5d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""25700.536"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.5d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""25703.498"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.7s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""26311.437"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.4f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""26792.092"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.4f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""26792.118"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.7p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""27835.02"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
